subject_idx,nu,kappa,omega
0,0.00015960801377939274,0.010065445891738377,-2.193346640186403
0,0.00010000990773806838,0.28911378488182615,-2.6120129831668204
0,0.0002691923799921711,0.010000937105558739,-2.3344229799387723
0,0.00015960801377939274,0.010065445891738377,-2.2525577757816877
0,0.0001000023240475334,0.32667929210362195,-2.5699566594674033
0,0.00010000285196989374,0.36051688751129135,-2.5457730370510845
0,0.00010002549878262382,0.010686044405410714,-2.257945962554578
0,0.00010000150513884851,0.0864752839456018,-2.3593886171627334
0,0.00010000015252208546,0.2518374925408679,-2.5229082431123517
0,0.00010000637587047787,0.010063884750513993,-2.2548208906021125
0,0.00010000263676362129,0.01005490232096448,-2.239500415695957
0,0.00010000144060027098,0.010064349414145964,-2.29997690995172
0,0.00010000865146618667,0.42039560434884105,-2.6338383465115105
0,6.580943875114995,0.6984601322162254,-3.123299185852509
0,7.0358546706568,0.010000000047713054,-2.1961048168463133
1,0.00026907109660619045,0.2351481850021187,-4.786430843743241
1,0.00010001669224561889,0.2826879580384225,-4.761545130101069
1,0.00010000301906999867,0.023206145433146617,-4.6131347125408535
1,0.00010000392928868651,0.22871303310965202,-4.68056666152338
1,0.00010000319491657649,0.0100521155508535,-4.386208448303173
1,0.00010000805197350387,0.1525436685470978,-4.67043823794762
1,0.00010000298584280948,0.6374814523693302,-4.9785193494698285
1,0.0001000015051388485,0.04487032662361106,-4.407176394717651
1,0.000100010258647813,0.4353700799666653,-4.805693222716906
1,0.0001000155574650605,0.1319814079755816,-4.484119038888809
1,0.00010001669224561887,0.01006527138374799,-4.529239682820296
1,0.00010001537602400846,0.010065220116548637,-4.4151360584769455
1,0.00010000946042220982,0.02329216193892489,-4.375185961899848
1,0.00010000438443013456,0.3714266844381045,-4.859175506438647
1,0.00010000085095547467,0.2842431709085469,-4.639988026615084
2,0.00010000132277393481,0.2816963128575128,-3.128771657422406
2,0.0001000023595251586,0.35620192189595784,-3.3920234609072586
2,0.00010001669224561887,0.050021878613166086,-3.0443796395271585
2,0.000100010258647813,0.09441100081432789,-3.078219072700465
2,0.00010001026150891696,0.01006748532191701,-2.967605101282794
2,0.00010000008214047464,0.13049915284075456,-3.0420509191881497
2,0.00010000111735382389,0.11082844807973612,-3.0953383676081088
2,0.00010001600960424581,0.12290647375767208,-3.056174993199287
2,0.00010000142466305427,0.877142816360442,-3.7959507179368335
2,0.00010000700001044544,0.220435916861948,-3.1529382964913943
2,0.00010001657414748093,0.14538699763701635,-3.09207744503447
2,0.00010000203605456894,0.23098394583247156,-3.1278458973928336
2,0.00010009903718941835,0.010005297039679091,-2.939218239266231
2,0.00010001537084822296,0.028662347381426465,-2.9899788725432397
2,0.26132323114133715,0.6374365319456138,-3.6395297669428333
3,0.00010000367604245112,0.010066328103222546,-4.999966118742846
3,0.00010001576003024917,0.010079066715984016,-4.99996589763697
3,0.00010001537602400846,0.010065354690466242,-4.99995904775364
3,0.00010001026150891696,0.010071638165042012,-4.999969105835994
3,0.00010001643946241982,0.010064271713936321,-4.999952128810612
3,9.999999984623976,0.010074063149563092,-4.999965890101709
3,0.0006767318241517956,0.010022792766448019,-4.9999999996323305
3,0.00010001658624569099,0.010067235901704007,-4.999966221540535
3,0.0030746948981344936,0.010027218789128777,-4.999999999800483
3,0.00010000366020220806,0.010067268142199931,-4.999966153177934
3,0.00010001669224561889,0.010064787529458719,-4.999961680398456
3,0.00010000024069310086,0.01005402474704795,-4.999982380082776
3,0.0001000012980829305,0.010058341902100136,-4.99997082728946
3,0.00013081685189524555,0.010064510152811465,-4.999999999371377
3,0.00012899573939706226,0.010000002457856282,-4.9999683802389665
4,0.00010000354574036101,0.19662021464191,-2.266391633561334
4,0.00010000553620908878,0.06381797449421402,-2.0949113936931165
4,0.00010000161606938754,0.662933093959044,-2.6737985741969057
4,0.00010013105986754692,0.07957548003431866,-2.071846913666139
4,0.00010001025864781306,0.12976019291581511,-2.087402002835757
4,0.00015960801377939274,0.010065445891738377,-1.9433127411795896
4,0.00010000243536581467,0.32419035715702305,-2.3956445826338024
4,0.00010000150513884851,0.5077106749137665,-2.5994623966512735
4,0.0001001278432932902,0.49406890100169093,-2.6235552658911456
4,0.0031342963392186132,0.197846975539242,-2.3189906814662296
4,0.00010001014755463558,0.23034366885649613,-2.23537417467674
4,0.477296503969019,0.26110174630011973,-2.3833575119473798
4,0.0001596080137797884,0.0314617729738982,-2.1417069750026747
4,0.00010000389550262118,0.16540262185782362,-2.203025823752117
4,0.00010343287864397229,0.035948140881718216,-2.104431893691228
5,9.999999984107289,0.14050033930626374,-3.2311953465949377
5,9.999999999999844,0.20674309403156388,-3.354576177964661
5,9.99999998443868,0.15885169515205858,-3.493475072985265
5,3.1842351948079854,0.4398124551651429,-3.6556430821850086
5,9.99999999866131,0.19398953919828613,-3.3670636332241997
5,2.598765668922901,0.4818882172812784,-3.620246426606088
5,9.999999996411113,0.22928466391209923,-3.3602822384480984
5,9.999999999999945,0.20441855670765943,-3.352342300044686
5,9.9999999882198,0.17276705503157885,-3.3418982221173823
5,9.999999990356356,0.1509275750637427,-3.388227430375536
5,9.999945654823831,0.23145748991267193,-3.3646536789794435
5,9.999999980333484,0.22639428032302825,-3.3794421417625844
5,9.999941561252912,0.2334835653289782,-3.4648844787110358
5,0.6348173077710005,0.8715604436916351,-3.972048850450757
5,9.463473387727678,0.1913784730390352,-3.3171240011700367
6,0.00010000298878810914,0.13140430601913,-1.4881319211342987
6,0.00010405017878078891,0.20712745810229297,-1.5688196851643348
6,0.00010000037892712106,0.010060055547879112,-1.4078243465586908
6,0.00010001574643212472,0.05887215594658662,-1.4696804176536022
6,0.00015960801377939982,0.010065445891738377,-1.4341141021081565
6,0.00010000796188869083,0.25716188471244966,-1.6193124888007664
6,0.00010001219181543798,0.11497641281545563,-1.4952676584587616
6,0.0001000026809593204,0.17121832734867515,-1.4736827127669245
6,0.09443694809743369,0.0100000037991541,-1.3861772276706292
6,0.00015960801377945533,0.010034152462871537,-1.2965735309222932
6,0.00010000207353063692,0.05125109243229852,-1.3665627728063507
6,0.00015960801377939274,0.010064491325132124,-1.3956120305682487
6,0.002234831652235878,0.010000000040252555,-1.3233716113737324
6,0.0001000009678345982,0.23792778412335153,-1.5874058875932924
6,0.00010000063069911161,0.010064413565621513,-1.3211312483094142
7,0.00010001085628320405,0.010059871369560037,-3.233145354744382
7,0.00010000290762131786,0.4510039902981678,-3.800018078166923
7,0.00010000192787126399,0.2706268989187211,-3.6539611106743273
7,0.00010000880644618408,0.42303168651839207,-3.8553880922572903
7,0.00010000271069341564,0.07148586059136773,-3.427491032168732
7,0.000100010316375141,0.2503353075347293,-3.6310989442703847
7,0.00010000105127641742,0.01005010092799323,-3.3485932364894495
7,7.7916054963031165,0.010000000014194503,-3.376597064164624
7,0.00010000237850553807,0.12969607231174676,-3.5246292082222377
7,0.00010000246107970729,0.16065072154985685,-3.5066130881238156
7,0.00010001104573572229,0.24446707708940504,-3.5561774457678554
7,0.00010001743448590314,0.010063193748906995,-3.092673277380117
7,0.00010000417172118726,0.1812872889954001,-3.37094746320267
7,0.00010001031637514102,0.22880554585706658,-3.4697348345020402
7,0.00010000155956055691,0.37849976107583627,-3.6168495078577836
8,0.00010001031637514104,0.19161569671741815,-2.8858382370629383
8,0.00010000260532552198,0.2650901773516034,-2.9934945474772903
8,0.00010001669224561887,0.08351546744724726,-2.914175649161175
8,0.0001000001214087138,0.7641100334593137,-3.636125015252555
8,0.00010000289915683367,0.44813837147071106,-3.2171439315517185
8,0.00010001026150891694,0.010064972804055803,-2.8446617715879103
8,0.00010001026150891696,0.01007246826934406,-2.983069832334168
8,0.00010000215607445724,0.13548810080836624,-3.019435017740556
8,0.00010001537084822291,0.25146963539149764,-3.134043146835849
8,0.00010001025864781306,0.17481789487397306,-3.0700779693703986
8,0.00010000304235817161,0.31666456830600337,-3.198285039422214
8,0.00010001578484910943,0.09794364861917869,-3.0088421934271334
8,0.00010001561651155227,0.02212572286456088,-2.8937307514350286
8,0.000100010316375141,0.395945704270162,-3.1546453383590563
8,0.00010000341696374195,0.010066078849436767,-2.779578963391331
9,4.634860168834229,0.5011264203696262,-3.394118673450581
9,0.00010000064144856664,0.47129232037901775,-3.4509987520141943
9,0.000100013638289076,0.010066664467027035,-3.0125382543851695
9,0.00010000225257501456,0.010033103890454888,-3.0050802648032944
9,0.00010001669224561887,0.010051896724611946,-2.9912328234462757
9,0.0001000029587584701,0.19274782277270402,-3.216630466527383
9,0.0001000010381839891,0.12913424000476556,-3.1428935204992197
9,0.0001000236514832625,0.09956117702231244,-3.1513667939982333
9,0.00010000362564921715,0.40993051035499223,-3.413690899234644
9,0.00010000150513884851,0.33655222090017994,-3.3704847283228676
9,0.00010001031637514105,0.38665422315009446,-3.433363876936008
9,0.00010000159928038726,0.48850042206102023,-3.481408239219872
9,0.00010000243536581467,0.18902530985295243,-3.248693284468709
9,0.00010000196813899666,0.2840362664459456,-3.2487804679098415
9,0.00010000331203478986,0.3689441656461672,-3.356632099536069
10,0.00010000007364568827,0.3144023649074299,-3.855530462149089
10,0.00010000392133606878,0.0539557359874499,-3.9005776246187263
10,0.00015960801377939114,0.40284384110667315,-4.333781394845074
10,0.00010000236096625165,0.7832908813933509,-4.823917247357207
10,0.00010000243536581467,0.05966907560581004,-4.032632235663424
10,0.00010000394050466317,0.18769564278301568,-4.408780904705403
10,0.00010001026150891696,0.010065197254818858,-4.030316947684843
10,0.00010001025864781306,0.2608398444828745,-4.362785005726243
10,0.00010000637587047784,0.18756142904108383,-4.146128580049535
10,0.0001000011363851989,0.47213926729939126,-4.50719670054907
10,0.00010001537084822296,0.12365921461229147,-4.3195790807615575
10,0.00010000005175233738,0.6628462861020938,-4.754924142091393
10,0.00010001031637514102,0.12371698820666464,-3.983585357931686
10,0.00010001844614864901,0.010069428673748904,-4.077758535457733
10,0.00010001031637514102,0.14713290929815964,-4.230320113690638
11,0.00010000126824797584,0.47813437861510566,-2.5379686038201084
11,0.00010001421444782706,0.13028490797653497,-2.195669841363553
11,0.00010000069599035475,0.3060688951479646,-2.422537984627962
11,0.000100010258647813,0.23419521098715443,-2.262542275229018
11,0.00010000355000971335,0.010064779821929744,-2.1234799944209075
11,0.00010000583550496864,0.22958657862595563,-2.3872880103570098
11,0.00010001537084822291,0.18216365405003343,-2.246992502987397
11,0.00010000101158559309,0.7507042146305053,-2.8354266630980436
11,0.0001000097666249038,0.24284572648222688,-2.2827363954248074
11,0.000100010258647813,0.23191780603492648,-2.3200201980600372
11,0.00010000020779769327,0.22610635071531746,-2.279632677153588
11,0.00010000300835564667,0.1226498474558788,-2.1858141383872294
11,0.0001000159841274789,0.20233236204584354,-2.257912167432684
11,0.0001000033587035661,0.24535555682630816,-2.290563843410787
11,0.00010000339423057132,0.010066031114950136,-2.100481291839449
12,0.00010000000412547808,0.6946264466876412,-3.0183607517833733
12,0.00010001179040179323,0.2597039044316827,-2.631694233151727
12,0.00010000211720910941,0.34090296640604506,-2.7705466401507444
12,0.00010001031637514102,0.017999765612966016,-2.3887289480011007
12,0.00010001025864781306,0.028758516184340718,-2.4204995618461993
12,3.7503055506151766,0.6989534983667679,-3.1240871956717893
12,0.00010001633845046836,0.10640637616877469,-2.488490284102242
12,0.00010001626349268985,0.03398224106352991,-2.4943298109414154
12,0.00010000264326988846,0.30768980169373356,-2.6798022241926973
12,0.0001000026114119474,0.07329700874237638,-2.4684043207896127
12,0.0001000031232825735,0.27596433297905715,-2.7595628755055315
12,0.00010000322935001179,0.13422157992107941,-2.568979270165436
12,0.00010000300592039431,0.2848171607239746,-2.6934796466576025
12,0.00010001537602400846,0.0100653711265275,-2.413596542940789
12,0.00010000434200844823,0.27650791848689943,-2.688715646511507
13,9.999999984623976,0.44335994006703233,-4.999936725595464
13,9.999973462482798,0.5040518624259618,-4.999999999999982
13,9.999999999999952,0.49507276305850434,-4.9999550545412506
13,9.846297624304142,0.020511962522597994,-4.796426591596121
13,9.99999999999986,0.4382973034354672,-4.999940680135851
13,9.99994039198622,0.5289695122793782,-4.999959741848617
13,9.999999523502618,0.06271898017556915,-4.91353596069648
13,9.99994039198622,0.38399717782468756,-4.999965021315275
13,5.982773488735925,0.6956966276071438,0.2218454137969669
13,5.023876629435882,0.7673630289080382,0.0036411532885117803
13,9.99994039198622,0.5505167479644886,0.22554103466724218
13,9.999963160221483,0.46861133364834406,-4.99999999873362
13,9.999999998724293,0.4549414617068344,-4.9999681346841784
13,9.72771205549647,0.04421372135373007,-4.826303211001545
13,9.999999996991203,0.48486976796928055,-4.999937584482103
14,0.00010001435578139035,0.010058198784329146,-4.044313264191918
14,0.00010001083924277258,0.4683824496368603,-4.4036436004166974
14,0.00010001537084822296,0.16359959897336587,-4.252976250784017
14,0.00031647043816412614,0.010001971512086824,-3.842827687007269
14,0.00010000377176460895,0.5908460647959203,-4.724785306762901
14,0.00010000153969574912,0.010056033250448468,-4.076315059722885
14,0.00010000922463069826,0.010060192496408818,-4.021805687887204
14,0.000100010258647813,0.13739972689721067,-4.112855844056657
14,0.00010000268814048582,0.8157524557205421,-4.662493404889902
14,0.00010001031637514102,0.18701883485722987,-4.257869197279006
14,0.00010000891214989314,0.2762876693196222,-4.32831710164712
14,0.00010001537084822296,0.3129604085237351,-4.170952447926594
14,0.0003056261616481151,0.010004112415640434,-3.8295138464180236
14,0.00010001669224561889,0.18204996084833275,-4.212771531471394
14,0.00010001163749891149,0.4132415634630046,-4.290001513412321
15,0.00010000325849049459,0.07916763504219568,-2.5411386053146865
15,0.00010001025864781306,0.10866865132968445,-2.597415116107514
15,0.00010001628682671518,0.07051393778396561,-2.5906862317907198
15,0.00010000535326915925,0.19262858964312662,-2.715794008178481
15,0.00010001669224561882,0.23948797048262363,-2.7257015247984184
15,0.00010000247879592662,0.05658008325667014,-2.6298115424546236
15,0.00010001669224561887,0.21948295788061706,-2.780488212197392
15,0.00010001537084822296,0.23725183405058264,-2.7095999341350296
15,0.00010000369472353723,0.11606897787313737,-2.649662298041523
15,0.00015960801377939274,0.010065445891738377,-2.5190650070669975
15,0.00010001653110366436,0.010065403161857877,-2.634475762935809
15,0.00010001031637514105,0.06882133854445897,-2.6250766594303543
15,0.00010000088473635933,0.8205966103434896,-3.329416096482718
15,0.00010000637587047781,0.11379779845366114,-2.6722481743895576
15,0.00010001025864781306,0.21535559479240998,-2.730352251692937
16,0.00010000889733993636,0.2301656315102589,-2.1739383687067897
16,0.00010001025275119496,0.14077811639825044,-2.0568342740238688
16,0.00010000991601235865,0.010062695606247547,-1.913049739460779
16,0.00010000694106588321,0.2255205328576668,-2.1999563207508395
16,0.00010001537084822296,0.04626247590325878,-1.9530180173947094
16,5.2859317905606655,0.54118041031925,-2.750218170385242
16,0.00010001669224561889,0.010065255414970714,-1.922954656605424
16,0.00010001669224561887,0.12194381941308341,-2.0641339733196693
16,0.00010001615544561478,0.010065174624075145,-1.9504436680238464
16,0.00010000243536581468,0.2215615256335254,-2.2018982552564985
16,8.939365909798928,0.010000000025714951,-1.951291883544216
16,0.00010001538456868843,0.1326453985409339,-1.9897264928635963
16,0.00010000110184683272,0.09045878815459797,-2.0287693014140245
16,0.00010002364256224351,0.0334931659775859,-1.91489660612518
16,0.00010000243536581467,0.11098860590275171,-2.0300150288690073
17,0.00010000201299843318,0.3652629964626307,-2.166549319456399
17,0.0001000007866656419,0.033585412932745216,-1.8584225372962342
17,0.00016086691500195885,0.010001666745431884,-1.7889102069425997
17,0.00010000286360106303,0.48570221808395786,-2.275589032986273
17,8.109516826935755,0.010000000034088583,-1.91288947313371
17,0.00010000035452748744,0.07188428498895959,-1.9118197639822767
17,0.0002959517008358544,0.010001434348420345,-1.8437081641317403
17,0.0006429600662616766,0.3930553195376931,-2.169554721682672
17,0.00010000316598607426,0.32298979435122444,-2.0579944773019285
17,0.00016291337328127185,0.010001138002662344,-1.7340464308153134
17,9.999999999990004,0.010047733348607866,-1.8163594245715038
17,0.0001000017482061896,0.9719671951331318,-2.7949114330076297
17,1.4551125241417175,0.010000030574292645,-1.7470315646245094
17,0.00010002364256224351,0.051071050016671254,-1.7748660672149887
17,0.00010001031637514102,0.010065413310140938,-1.7467579604350776
18,0.00010001537602400846,0.06650474965269944,-4.76812587709142
18,0.00010000126791732052,0.03659742081952413,-4.828680731932292
18,0.00010001622070725117,0.05944788312246209,-4.8594532735017095
18,0.00010001599248501774,0.01005179400934581,-4.802962679436042
18,0.00010001537084822296,0.16678665575665436,-4.915178750786968
18,0.00010000319144829335,0.2009342548098886,-4.995208720769016
18,0.0001000054485831033,0.010068475162496822,-4.846795014599328
18,0.0001000166922456189,0.010072263615177554,-4.796132914271617
18,0.0001000164344816602,0.2198795498988356,-4.958549978863409
18,0.00010001669224561887,0.010070718497365145,-4.774951686007558
18,0.00010001669224561887,0.010074485375033172,-4.820289695932724
18,0.00012411236627313637,0.01006817081302833,-4.8437190088261115
18,0.00010001669224561882,0.1569734237522829,-4.995289595286985
18,0.00010001031637514102,0.06532305923962421,-4.870043178158843
18,0.00010000637587047781,0.19677177763890322,-4.978394572102333
19,0.00010000637587047785,0.010065416152649326,-4.999937862093096
19,0.00010000017660969466,0.010054870433090403,-4.999958249052402
19,0.00010001026150891696,0.010070014701992426,-4.999966360043799
19,0.000100001565596158,0.010030052389142488,-4.9999540637058955
19,0.00010001669224561887,0.01007040387334546,-4.999966416951557
19,0.00010001537602400846,0.01007501047308684,-4.999943331167398
19,0.00010000372859809879,0.010066836305049802,-4.999966414900503
19,0.00010001575318554427,0.01007246839765052,-4.999965886240341
19,0.00010000002377147318,0.010057542679525617,-4.999945348300691
19,0.00010000346894438296,0.010062101134647393,-4.999956962134603
19,0.00010000243536581468,0.0100634799118668,-4.999948041397027
19,0.00010001031637514102,0.010063338813191427,-4.999930645354871
19,0.00010001669224561887,0.010065316380922194,-4.999965211429322
19,0.00010000366119297996,0.010065032039503367,-4.999958638109807
19,0.00010000530895576305,0.010064960188177116,-4.9999362012839805
20,0.00010001537084822296,0.36459984689420105,-2.7237983107049555
20,0.00010000146324015246,0.47518901662425855,-2.9547974861271746
20,0.00010001031637514102,0.2051046465242922,-2.680721948844604
20,0.00010000127313138625,0.010064651091091347,-2.496759162193803
20,0.00010001031637514102,0.41691777346058295,-2.88929886465939
20,0.00010001283256338582,0.24873874538038815,-2.7566910078320825
20,0.00010000687743396907,0.046074391317423406,-2.539236303080838
20,0.00010000110416794338,0.04686428217816691,-2.6047284223607825
20,0.00010000340233595311,0.3832559871139932,-2.906255354999547
20,0.00010001030007978471,0.01005160041528841,-2.5635343077706976
20,0.00010001537602400846,0.1611704359822486,-2.729008029778277
20,0.00010000141523160037,0.3162062626659962,-2.9125201854736615
20,0.00010000392700495802,0.08382568304021401,-2.608711584949257
20,0.00010001669224561887,0.06794268108918033,-2.5977613485914723
20,0.00010001537602400846,0.010068671701560788,-2.6270439216070263
21,0.00010000394050466317,0.01006506572047583,-1.3748564633844245
21,0.00010001612760571926,0.01006513152795399,-1.4706582742498995
21,0.00010000148241149487,0.05560281226963046,-1.5249042755985491
21,0.00010001537084822296,0.08114654768584259,-1.553492814171929
21,0.00010000326149668751,0.1403185345654237,-1.6028269580112409
21,0.00010001638217598007,0.36816097418550225,-1.8090421519603281
21,0.00015960801377939274,0.010065445891738377,-1.4246862688260948
21,0.00010000998829404293,0.24185198145647283,-1.6749636651204431
21,0.00010001669224561882,0.06241715115644838,-1.5369751805397625
21,0.00010001599447576856,0.05020272999879694,-1.504370775806715
21,0.00010000351780372444,0.28843446669288125,-1.760462601994367
21,0.0001000004215077552,0.25434821711344213,-1.691097513929418
21,0.00010000253560136476,0.6595998114357053,-2.1856703984154553
21,9.96834160390865,0.010000000644012208,-1.476277069517193
21,0.00010000637587047781,0.1539420406826475,-1.6170046569911802
22,0.00010000352113893508,0.21657493420928944,-4.877087367969931
22,0.00010000057491188233,0.1730839886049221,-4.530512417014412
22,0.00010000258376533504,0.21407270379254642,-4.784756357026385
22,0.00010000274839343008,0.4075529885917389,-4.965619861747904
22,0.00010001025864781306,0.34411749689512866,-4.983398750414922
22,0.00010000208873676313,0.13495382901511938,-4.615611249470903
22,0.00010000237845063743,0.14598502921822126,-4.792421270356646
22,0.0001596080137797884,0.010065445891738377,-4.508501287134006
22,0.00010000468012817475,0.09029485345476909,-4.619311964511835
22,0.00010001049541636994,0.010063570258973423,-4.562228537236912
22,0.00010001664910730438,0.010065415248049431,-4.744131083119274
22,0.00015960801377938594,0.2337452726760196,-4.829026792819494
22,0.00010001524395418522,0.2180436384396873,-4.793568686727951
22,0.00015960801377939274,0.010065445891738377,-4.697359886086229
22,0.00015960801377956635,0.04276252635920961,-4.783553183246087
23,0.7189571009258848,0.1872511510083242,-1.3921655964937956
23,0.19511105700527426,0.24340590731486672,-1.513781609993959
23,0.2013441148805345,0.20501714282007327,-1.48196419591872
23,0.05183563772157562,0.5247039813095573,-1.821355191011058
23,0.26725795603779595,0.22491898914376546,-1.5259249182743442
23,0.04712082137353423,0.32213054642253464,-1.626792224587385
23,0.00740479178650925,0.20169706950002944,-1.5214540195553654
23,0.17125696458590306,0.18898023587063473,-1.5030954216826662
23,9.999992331107824,0.03954606446214029,-1.3373420433611742
23,6.094526280485001,0.5197090457890056,-2.253860297217557
23,0.10985135377459065,0.2836500129929966,-1.5869823586819338
23,0.000100002119300029,0.8156942336634417,-2.1067667597898887
23,0.1755777473075539,0.1526267685958632,-1.4645707977972386
23,0.07495973890027659,0.37321825720661916,-1.6862028601530918
23,0.31062861747178466,0.18071649657109823,-1.4394311805914133
