simu_idx,session_idx,lr,weight
0,0,0.1405317314373308,1.7225786979383327e-08
0,1,0.14135850850993215,5.187941759934821e-10
0,2,0.14077141740761936,5.172347841389849e-09
0,3,0.13982381020636342,2.990146466159764e-10
0,4,0.14146492409805056,5.540261055701231e-10
0,5,0.1460843196079603,1.9480323251849438e-12
0,6,0.14177344036347148,3.664982220098895e-10
0,7,0.14130798969294953,1.0333786269690033e-09
0,8,0.14210684675486002,1.6728721502504616e-08
0,9,0.1417921749930324,2.68080668445113e-10
1,0,0.17545536793571537,1.9206934035401614e-07
1,1,0.1684737045918475,3.9029436078254004e-17
1,2,0.17413797188130042,1.985410386678963e-08
1,3,0.17112920327941297,1.0573196112292979e-13
1,4,0.17095463882972556,2.1307957745009917e-13
1,5,0.17063332647897345,3.7528932496784026e-09
1,6,0.16813583693067624,4.092964055128965e-17
1,7,0.17238231619893815,1.9695817297330592e-08
1,8,0.1695587447693743,1.102761022035265e-08
1,9,0.1724550119443763,6.362565833525379e-05
2,0,0.21948368896435738,4.969646455201988e-14
2,1,0.22060833929521656,5.631996812774176e-14
2,2,0.22061769289022853,1.1388602375547356e-08
2,3,0.22332865301875976,2.5735471136614238e-14
2,4,0.22015206564645226,4.0298929742877054e-14
2,5,0.2169731651920673,1.350840449894146e-13
2,6,0.2205357285810022,2.902632079684981e-09
2,7,0.21846253338674596,7.494415922006734e-09
2,8,0.22039361387344825,1.7434192676866335e-13
2,9,0.2199644275555372,9.109308548991833e-14
3,0,0.12311101741739078,1.7104293026921615e-14
3,1,0.13279618078379804,1.7252345656682683e-12
3,2,0.13691322110839038,4.046787245112505e-06
3,3,0.12364853643526869,9.375329515844883e-14
3,4,0.12306745132355822,4.2002658706655136e-09
3,5,0.1255031897022277,1.6092481818447366e-14
3,6,0.12072668831444093,4.690574009538493e-09
3,7,0.12365042108488866,7.1393939417698475e-09
3,8,0.13207422009651207,1.1241007717753895e-12
3,9,0.12413647949200932,2.5293699168198305e-14
4,0,0.19729898125545187,3.966644036706282e-05
4,1,0.19580528658410173,3.915689144243934e-05
4,2,0.20695577224225906,2.301667311941074e-08
4,3,0.20572112938455234,1.5698201541306835e-12
4,4,0.20089383374581704,1.2045333602620813e-12
4,5,0.20590132882138654,1.4564041636642815e-12
4,6,0.2055028096460459,7.3521455579411e-13
4,7,0.1938927460984113,8.390247837897413e-14
4,8,0.2029485680026243,7.323580354353168e-13
4,9,0.20708350979651835,1.412573684867087e-12
5,0,0.18699738973292085,3.7082594859534517e-14
5,1,0.18421648975678528,1.6126088334431322e-08
5,2,0.18686342210519097,2.645099537529811e-08
5,3,0.18454005849272814,4.98127756093392e-13
5,4,0.18447580247116038,1.2263163266648313e-09
5,5,0.18236672221549155,1.190817264088963e-15
5,6,0.18432272988133241,4.75526112938223e-13
5,7,0.18257337738261536,1.6496041008890128e-08
5,8,0.184564773778943,4.880431016024281e-09
5,9,0.18447896875390124,3.5092767105011467e-09
6,0,0.213123071056794,2.388812714514261e-13
6,1,0.20525454508341917,1.2583419473040358e-16
6,2,0.21459809512733485,1.7724331038378582e-05
6,3,0.20326794411603127,1.633421065285439e-12
6,4,0.21110843482258013,3.731082644393211e-08
6,5,0.206028176665212,2.1201131083439738e-08
6,6,0.21444274178458853,1.3442757421827742e-05
6,7,0.21314918908941802,2.390926188587314e-12
6,8,0.21332105020900363,8.591527140335783e-06
6,9,0.20550074591449544,3.405303071211023e-14
7,0,0.04323959326525375,7.910305967515751e-05
7,1,0.04293625153659252,4.218614405328634e-14
7,2,0.04220046471840039,7.523402566585351e-14
7,3,0.04250253029036168,2.4232653931023293e-15
7,4,0.0423868574475711,1.2968690024094286e-13
7,5,0.03599394741741512,6.610696135189607e-05
7,6,0.035215560436332664,6.610696135189607e-05
7,7,0.042463164360439835,1.5606828337916065e-15
7,8,0.042581450252354505,6.600020744029981e-14
7,9,0.04207093622703685,1.7129827905074718e-15
8,0,0.05585514011334961,3.0007352607097066e-14
8,1,0.05109629629618281,5.595761433717615e-15
8,2,0.054862827374697935,1.0484764705447785e-15
8,3,0.05537933848483196,4.5374709894099283e-14
8,4,0.05414963178761323,4.945504675717699e-15
8,5,0.055701739768384696,1.1350650034403442e-14
8,6,0.055623093025405586,2.2090568441588137e-14
8,7,0.05527192075666471,1.3167127093930566e-14
8,8,0.05569128529306312,1.7080784518757682e-14
8,9,0.05526801172534256,5.3819519033633075e-14
9,0,0.42255654300766415,0.44636379496450895
9,1,0.4811965471183866,0.446354289015028
9,2,0.44251821576095923,0.4529229424493495
9,3,0.47059337133718115,0.45481897708218844
9,4,0.46106956655827475,0.43616746952987556
9,5,0.48354483371476376,0.44986167691872075
9,6,0.4831918398320673,0.45021166825025155
9,7,0.4618988294727044,0.4478820276442512
9,8,0.46712421281312316,0.43560565965970943
9,9,0.45829771454124596,0.44725795078299113
10,0,0.13726004809294456,3.3316321434295363e-09
10,1,0.13900163844150082,6.847377783269431e-14
10,2,0.14087445631097414,4.570753185924538e-14
10,3,0.13853017007153576,1.5002714749927013e-14
10,4,0.1415682575511336,9.186503261598197e-09
10,5,0.13705829709689007,1.4896464332063536e-14
10,6,0.13959624207561672,1.9083365262522205e-14
10,7,0.1368111260557065,5.151582627365234e-14
10,8,0.1341085070239817,7.54237543119611e-17
10,9,0.14648964955640456,7.479811902712526e-14
11,0,0.02731032100369609,4.104025152206255e-14
11,1,0.027293497698873796,1.7457677191663984e-14
11,2,0.02746287622721804,1.1017517707385115e-09
11,3,0.026159281344593718,4.346665050191804e-09
11,4,0.024757969022931033,5.115823562872939e-15
11,5,0.027292176090910242,8.012554916800276e-15
11,6,0.02727796652797394,4.033481161527666e-14
11,7,0.02493068259590243,8.259146227843272e-15
11,8,0.027472297793464256,2.1937712517954543e-13
11,9,0.027299535216023796,9.744392380880366e-14
12,0,0.11577934407278555,1.4719438550204322e-05
12,1,0.10307637286136984,3.935967959020304e-09
12,2,0.10866088865377839,1.0651721844324816e-08
12,3,0.10095219816809697,1.4612585046145564e-13
12,4,0.11099936354914247,1.0431276861575965e-08
12,5,0.10117211153938518,2.686420532597499e-13
12,6,0.10549495947351697,3.53063612550591e-10
12,7,0.10515567434691571,1.1115591785438067e-10
12,8,0.1039766120247403,1.132981829252105e-08
12,9,0.10004464483095565,2.9676039630153883e-13
13,0,0.2084521508044455,1.590421914974426e-05
13,1,0.20543708620022186,4.715380081970872e-06
13,2,0.2013048335450374,1.0350558790339643e-08
13,3,0.20108963522803744,2.645582295644517e-13
13,4,0.20681887312410116,9.164310373428585e-14
13,5,0.19725322471620668,1.5802936837009562e-14
13,6,0.19993302222422762,5.02977891561166e-09
13,7,0.19757381987503939,1.695261970567489e-08
13,8,0.20649986955656832,1.7108375491832017e-08
13,9,0.20236145869480565,2.884271485864628e-13
14,0,0.4512523773287655,0.3726275937724726
14,1,0.37485127922878836,0.36297520103628805
14,2,0.3518896679545106,0.38087340683940984
14,3,0.3428196856102284,0.3870207922014696
14,4,0.4071743476996144,0.37882539525790976
14,5,0.3435181271275086,0.3694517072261806
14,6,0.4216503373129422,0.3763095078659337
14,7,0.37537695396044096,0.36962619589401746
14,8,0.35517750435038126,0.3638038139030611
14,9,0.3305250042945637,0.371133159515402
15,0,0.28045175434509306,1.9197270066907883e-14
15,1,0.28180290127721996,1.2065079864577241e-14
15,2,0.27885222940485027,6.610420933323498e-05
15,3,0.2809505359658866,1.6271497954085025e-14
15,4,0.2793089039421855,3.4527958961374543e-14
15,5,0.2811087320518762,1.0107059044652521e-13
15,6,0.2797811859938079,1.8755334880040662e-14
15,7,0.2800812587339059,2.533756687384207e-15
15,8,0.28141390648233355,2.4639162167944444e-14
15,9,0.28164681182872864,2.278267175051301e-14
16,0,0.03494617579028395,1.413298752395529e-18
16,1,0.032115877854518686,7.974668012764898e-05
16,2,0.04216286183148673,3.592704068976304e-05
16,3,0.033629982411936724,1.8955810090403244e-16
16,4,0.03442794462309074,1.920617291299271e-14
16,5,0.03479623222923002,1.7241301692228142e-14
16,6,0.0347355643969453,1.179414327302987e-14
16,7,0.03487775667220456,1.1149179249721516e-14
16,8,0.033008500406966,9.669818125819925e-16
16,9,0.03477062774209404,9.92759085402428e-15
17,0,0.2960218805279664,2.5923662460307303e-12
17,1,0.3015395940638258,2.585106281402722e-09
17,2,0.2978236996919368,6.58724338432312e-05
17,3,0.287368496133265,2.2887920771379783e-12
17,4,0.2988527315184473,7.788962806255258e-15
17,5,0.2994054593085994,1.0884011958479289e-13
17,6,0.29964723899665635,2.3302033447014908e-12
17,7,0.2999640013787948,1.0208261962949858e-13
17,8,0.2893090898512808,2.3955448090728785e-12
17,9,0.2961907188429398,2.226275196412127e-12
18,0,0.07232606520938001,2.606975173220018e-14
18,1,0.08431440094523236,1.3053284039603319e-12
18,2,0.07183344168419933,3.3233951577019544e-14
18,3,0.06765320923520525,1.820433513167534e-13
18,4,0.06653597953885207,2.766398781627552e-13
18,5,0.07470157191953568,1.9436777071971518e-13
18,6,0.06853039275826216,5.046119436347738e-13
18,7,0.06852961498719012,5.101680858670087e-13
18,8,0.06650061229793411,1.6740701315860205e-13
18,9,0.07330920830842659,1.7738020540747685e-15
19,0,0.02276434112979162,1.1218965817789765e-13
19,1,0.022423621863962722,5.2796761638647383e-14
19,2,0.022392754202404046,4.2955926973711225e-14
19,3,0.023116092701437125,4.26373852346302e-14
19,4,0.02289083295742766,2.2394331207708114e-15
19,5,0.022459358392221854,5.61814840853103e-14
19,6,0.02298643229884283,3.523490892648691e-14
19,7,0.022455388667219665,2.7816427275264614e-14
19,8,0.02265027508409627,3.862991409298119e-14
19,9,0.02246463688182569,4.2661378886704935e-14
20,0,0.08708755579123562,6.133892356598305e-14
20,1,0.08668358985645538,5.825681761222577e-15
20,2,0.08711949947830012,8.32334996505649e-15
20,3,0.08897352647252159,2.650850716962568e-13
20,4,0.08738850208809305,9.659342107966034e-14
20,5,0.0928889001993824,5.848087350249459e-09
20,6,0.0868699092572874,6.304171088677329e-10
20,7,0.08913447009638441,7.190934213903049e-05
20,8,0.08370167293386915,2.15819044130574e-13
20,9,0.08677311460038815,3.3538206489315156e-14
21,0,0.07025613221705963,7.935683264551485e-14
21,1,0.0674895733099373,7.516213124554267e-15
21,2,0.07106746979046868,5.897570211770935e-15
21,3,0.07127113051401622,2.904559151420335e-14
21,4,0.07132496281556225,4.403348575677639e-14
21,5,0.07148234762522439,2.039538037318103e-14
21,6,0.06974192656876603,7.16129445536183e-14
21,7,0.07134281794227343,1.5579226798219745e-14
21,8,0.070401882006777,2.8875140966571164e-14
21,9,0.0684358439218282,3.206521698559709e-09
22,0,0.15384313164220723,1.434812053359018e-14
22,1,0.15927007082499403,9.09235111795687e-16
22,2,0.1523815621400617,2.0058753410723268e-09
22,3,0.15693442075225975,9.499466508241027e-10
22,4,0.15536021139909628,2.7066978987950496e-14
22,5,0.1612917351567716,3.823005019127484e-05
22,6,0.15735646406706902,1.5198764907791376e-09
22,7,0.15760843949332157,3.3204768786223913e-15
22,8,0.15638246145455045,2.852148302862069e-14
22,9,0.15689350202902416,7.83818692133241e-10
23,0,0.23363300484687513,6.61031468270353e-05
23,1,0.236140713557425,2.4526797484937423e-13
23,2,0.2311420014921157,8.726007350699652e-09
23,3,0.23646276810264172,6.371852568560215e-05
23,4,0.23367785171003067,2.0461963764398252e-13
23,5,0.23518085771546454,3.8074122701200713e-13
23,6,0.2326682368176549,5.136685562758126e-13
23,7,0.23457074571431902,3.7068859717143073e-09
23,8,0.23730806639642107,8.39412635527534e-14
23,9,0.23586374322006173,1.094746922773875e-13
24,0,0.10407729264217397,4.6981724289837226e-14
24,1,0.10464196084823399,3.849353483429846e-09
24,2,0.10446126823966337,4.882950774044802e-14
24,3,0.1059519984558172,6.715508641136511e-09
24,4,0.10993350170749767,3.2270156470844515e-05
24,5,0.10168927149469921,2.16015222905278e-15
24,6,0.10388020978488999,1.041466977066331e-08
24,7,0.10521801860001602,7.080378225316099e-05
24,8,0.1008651322453612,8.616062711705818e-14
24,9,0.10369044213502927,3.854745556626052e-14
25,0,0.09679543974703933,5.4089661155425217e-14
25,1,0.0971879169874666,1.8262221155353004e-14
25,2,0.10245363656264608,1.4663201364952726e-05
25,3,0.09370451689011099,1.8498900145195787e-15
25,4,0.10508575563293669,5.0403606240294915e-08
25,5,0.09566833447247738,1.0089851119693404e-08
25,6,0.09539064563914701,2.76386492680346e-13
25,7,0.0941159259737732,8.270245199049609e-14
25,8,0.09522368291011832,1.5651938979623912e-14
25,9,0.0971299690394772,9.466031869175974e-10
26,0,0.04956858465887323,6.9678442386459095e-09
26,1,0.050689874249185536,1.9457417230113547e-13
26,2,0.050555617473914856,2.943697983819748e-10
26,3,0.050582147675497055,6.38702128463965e-10
26,4,0.050547258731230546,5.201110102161019e-14
26,5,0.060143228054604925,1.7471159993459354e-05
26,6,0.05090493379242626,4.550684285312875e-10
26,7,0.047323148243618135,6.059140900584799e-14
26,8,0.046018029937892856,1.7623434631408201e-13
26,9,0.04756229080029865,7.879691852752887e-14
27,0,0.2063077873883528,7.301281214106008e-15
27,1,0.22128468680271174,1.1504176212672592e-08
27,2,0.21637378811105948,6.610786532736428e-05
27,3,0.2221209285836072,5.866556555472967e-05
27,4,0.22035608619629046,5.540408947825361e-14
27,5,0.2134465063248167,1.548889756537665e-13
27,6,0.21528232025439203,1.3853452062955125e-13
27,7,0.21893217288294517,7.383287857682867e-13
27,8,0.22304559569932728,7.468755787862307e-05
27,9,0.22739212177893556,2.2698795218049855e-05
28,0,0.021233292714728683,3.883081946455926e-14
28,1,0.022895938572049756,6.55317066397301e-13
28,2,0.022831195177928636,6.422141756121071e-14
28,3,0.023222348394277236,1.184478751906766e-13
28,4,0.021129245928186196,6.388003429574984e-14
28,5,0.02172418297050387,2.411272118187701e-09
28,6,0.023027154729087982,1.1700876602122222e-12
28,7,0.023031123952995124,2.1761194686400303e-12
28,8,0.022607549160785986,4.6172011068299746e-14
28,9,0.025547381594310737,2.606854248730256e-09
29,0,0.11164163743310168,1.622933441379746e-14
29,1,0.12134278767613058,2.163193704614349e-05
29,2,0.12165334239933948,2.3472022533956412e-06
29,3,0.1114841631371762,2.315835728690496e-14
29,4,0.11168932253344815,9.515970946560789e-15
29,5,0.11697262139167247,7.935301731298976e-14
29,6,0.11781231268492619,7.3437707071464145e-09
29,7,0.11521615530187537,5.4511667076654345e-05
29,8,0.10962224099214486,2.763979908829441e-13
29,9,0.11310817955444652,4.3197899663229304e-14
30,0,0.12245223837950557,2.995994091631802e-13
30,1,0.12581151898351176,1.3939846589496168e-08
30,2,0.12282189626154914,2.5469279775838618e-14
30,3,0.12175533277234457,4.861666139273168e-10
30,4,0.13255732940579734,4.9258200217727185e-06
30,5,0.12026579603118392,2.358318255553361e-09
30,6,0.12284177399467834,4.637097431037582e-14
30,7,0.12797097137634647,8.6533862053874e-09
30,8,0.1210634581613608,5.331945333701617e-13
30,9,0.12637873178592668,2.633152141351877e-05
31,0,0.07677258545340651,1.596094865866202e-14
31,1,0.07747449839750085,2.134038049233326e-14
31,2,0.07737258941750633,9.924859186996892e-14
31,3,0.07774862448401822,1.5218617862124182e-13
31,4,0.08373076895263053,3.884605646050084e-05
31,5,0.07665342973862721,2.9568402752697266e-14
31,6,0.08220795915446316,3.373047010664949e-05
31,7,0.07786487780533706,1.110228321393491e-14
31,8,0.0764503156452234,1.035022665302051e-13
31,9,0.0792957717637211,1.3018810155586775e-14
32,0,0.053874356922542964,4.986976792274844e-15
32,1,0.0554269951017287,4.35789381450998e-14
32,2,0.054868320606483625,4.325789806414287e-14
32,3,0.055313307790123604,4.967256650093085e-14
32,4,0.05361476251658076,7.993070548183259e-14
32,5,0.053852480123542774,6.186289814030124e-14
32,6,0.05503398495525067,9.361507124074537e-14
32,7,0.0550811139685073,4.27271594442956e-14
32,8,0.05511830615730426,4.017214193339106e-14
32,9,0.05338290054484306,7.243420230256014e-05
33,0,0.16768581948026207,1.8349350990448946e-13
33,1,0.16919186377006099,4.0780049532497735e-14
33,2,0.16513756310185765,3.872057169946184e-09
33,3,0.1641779795728539,2.7224619435700012e-14
33,4,0.1619119014771425,1.088274421652394e-09
33,5,0.1811503997872556,2.3191969874567474e-05
33,6,0.1670945372368916,3.630467371744179e-13
33,7,0.17159802653208206,1.365227985327365e-08
33,8,0.17993886653603264,1.598759967464253e-05
33,9,0.16998925015959912,2.416341487997016e-13
34,0,0.2732095119980675,2.8845048709079195e-06
34,1,0.2593466430099687,3.652822985704235e-05
34,2,0.24706918318169938,1.355386865178926e-09
34,3,0.23935415709228822,9.969631178728572e-15
34,4,0.2422685251034382,1.643760782471713e-14
34,5,0.24199234694140176,7.277809964349112e-09
34,6,0.27052828430367987,1.8675394169409792e-09
34,7,0.2567890947103071,1.5242172086128402e-12
34,8,0.25722032113471327,0.2078133790247949
34,9,0.24786228516987646,5.504437219321074e-11
35,0,0.1618264374447248,3.2889585323808566e-10
35,1,0.16779228864581575,6.523643663225243e-06
35,2,0.1677366371473443,8.606442528370141e-06
35,3,0.16162618477243457,1.2408350473100919e-09
35,4,0.166642212133657,3.2429895698911576e-05
35,5,0.16573619927014316,4.564332278217826e-05
35,6,0.1644092715707558,5.749262702209492e-05
35,7,0.1656975434564048,9.439214683331363e-07
35,8,0.15925912409716414,6.782495509480553e-09
35,9,0.16639554167525927,2.0880511335706738e-05
36,0,0.006668718312571387,2.4063178299058105e-13
36,1,0.006701586956824536,2.120921672896413e-13
36,2,0.006780440957424958,8.649749980174853e-14
36,3,0.006554472939564691,3.775132774382986e-14
36,4,0.0065909801949420215,2.1719654008936728e-14
36,5,0.006565911298483472,5.11448254738324e-15
36,6,0.0065533106877096,3.1957939267316583e-13
36,7,0.006536243670124681,7.015034910250647e-15
36,8,0.006696691278137382,1.4533442554896184e-15
36,9,0.006855139087328084,2.8518201382273466e-15
37,0,0.1926208456679612,6.373042189160609e-09
37,1,0.1947192788456043,5.328321193109582e-14
37,2,0.19078225199013604,2.2203737020487057e-14
37,3,0.1972468549926035,1.5800690986294115e-08
37,4,0.201066968498903,1.7185063119176842e-12
37,5,0.19291249211043954,9.990404347463432e-09
37,6,0.1942382566548493,1.6798656409764123e-08
37,7,0.19156356345114675,1.2643661677167668e-14
37,8,0.1919922532008216,1.6299239973757448e-10
37,9,0.20341483723017095,4.799354412998879e-09
38,0,0.03634219188679849,2.59666077941811e-09
38,1,0.0364064582053016,1.973610636722584e-14
38,2,0.03639386572313006,1.1783285882247874e-13
38,3,0.03517323417696539,9.206542150285063e-14
38,4,0.03637741035339435,3.1382673779019764e-15
38,5,0.03622855459047878,1.5253704692053258e-14
38,6,0.03646271060967355,1.1882127193051452e-15
38,7,0.03312752510443819,2.797448999871684e-17
38,8,0.041683739790897484,5.1156203248525475e-05
38,9,0.036260116517253464,1.2391969659292663e-14
39,0,0.2030090399027718,1.4006581606899361e-12
39,1,0.2027004618210972,1.3378267813219172e-12
39,2,0.20360955610747855,1.3686422261900526e-12
39,3,0.20506004177130036,1.4578919668717383e-12
39,4,0.19763582290837173,6.880012035884349e-13
39,5,0.20012230223846653,1.291303476365184e-12
39,6,0.201377411245463,1.3250963301343448e-12
39,7,0.20354813284248097,2.3240114463396987e-12
39,8,0.20556064752702005,1.425390472428907e-12
39,9,0.2048188673623773,1.3407066323562096e-12
40,0,0.1474007182766538,8.037469965338656e-14
40,1,0.14340362042306118,1.5340126820574349e-10
40,2,0.14617675266207122,1.0361127012526605e-13
40,3,0.14143211731362715,2.335278740013964e-14
40,4,0.1461057327450307,6.196486388625199e-09
40,5,0.15726800962673032,3.160511185002559e-05
40,6,0.1430713542992206,8.99669561973146e-11
40,7,0.15533764107678777,1.0145362099607058e-05
40,8,0.1512388887083809,8.65988918622263e-09
40,9,0.14312843938705247,7.562910408278421e-15
41,0,0.11062886583660951,2.523933287000728e-13
41,1,0.11751114862723719,1.0925364906713957e-06
41,2,0.10689599141131202,6.386512759948477e-14
41,3,0.10992602137485473,9.426463991712828e-09
41,4,0.10699655110380563,1.4722385164768487e-14
41,5,0.10769359044364472,6.403821701965715e-09
41,6,0.1094900526920922,7.583720690724122e-05
41,7,0.11077800079033616,1.725156376910764e-08
41,8,0.1044512845126994,9.28685361153767e-09
41,9,0.10959643289735277,4.898098793139834e-14
42,0,0.2869259704091522,4.802895297331722e-14
42,1,0.30594739913568647,0.22176208157485217
42,2,0.3162651956204214,0.24756994391995565
42,3,0.2804345904898531,9.075322444628873e-13
42,4,0.2880953408628159,6.872246313672383e-14
42,5,0.29097458283866495,0.232916934060632
42,6,0.31567506986274096,0.25134414085087253
42,7,0.3192610796130444,0.22041946265207987
42,8,0.3134150833236935,0.2327061114298177
42,9,0.38251442400690816,0.21298389353625222
43,0,0.20660179132430903,3.4539651002499536e-13
43,1,0.20268095588592075,7.639945722082611e-13
43,2,0.20970358504523906,3.055846172600439e-05
43,3,0.20139000778249427,7.98477053729988e-13
43,4,0.20500316641926267,2.0235860218205216e-09
43,5,0.2038519282467064,5.6765832337319006e-14
43,6,0.20484174019034332,5.833204863841809e-14
43,7,0.20075291074621027,4.2549072594377355e-15
43,8,0.20074148725904667,3.841595036062395e-09
43,9,0.2001227796987714,1.0810880276554113e-08
44,0,0.2540291709885368,6.328665874833315e-14
44,1,0.25030447272399686,2.372722095524751e-14
44,2,0.2270852027728219,2.7312797911769595e-09
44,3,0.1265703916817545,0.2210726090634418
44,4,0.2516189831784738,1.1586870906988521e-13
44,5,0.25282548101105373,1.040034739071748e-13
44,6,0.255535477670749,1.5528254260657727e-14
44,7,0.2459232786462644,0.21859683378015154
44,8,0.24954861185002544,1.177402686389589e-13
44,9,0.25688886288825136,2.394335810602114e-08
45,0,0.48183913809861967,0.44758401049986696
45,1,0.482762431056257,0.45127288261904064
45,2,0.48673309661503067,0.4495662752253029
45,3,0.43798666882993903,0.4392708900257667
45,4,0.49142501322907817,0.45054861151578723
45,5,0.46461050997511116,0.43477498629798383
45,6,0.5080394843626141,0.4529586580539595
45,7,0.49574080234466444,0.4575851261441974
45,8,0.5200286322433735,0.4434428663320547
45,9,0.42306189694682816,0.4366419961955078
46,0,0.10336292346229009,2.8549674163913814e-09
46,1,0.10846619695511854,2.441974138296771e-05
46,2,0.10441458937959187,7.125219131726467e-09
46,3,0.10088456028453012,1.189048623321916e-13
46,4,0.10360887047146072,1.2331421261026727e-14
46,5,0.10225484066507166,4.992629450931914e-14
46,6,0.10335905355220193,2.4489370064440752e-14
46,7,0.10211122014597271,2.1174910459553542e-09
46,8,0.10342722706459137,3.000143294446443e-14
46,9,0.10308926505073686,4.140159870604589e-14
47,0,0.19045349107909737,1.7125513486509597e-14
47,1,0.1874417964626445,6.11338357063622e-14
47,2,0.18760512089813086,6.59629929323705e-15
47,3,0.1824567920172791,2.1568645522424963e-13
47,4,0.18747068917964876,5.152936637820997e-14
47,5,0.18623138491712563,1.7806669993335216e-13
47,6,0.1847065895205298,6.92806035418767e-05
47,7,0.18268978178250564,1.392067534093169e-13
47,8,0.18766905690321103,2.807744126626415e-14
47,9,0.18734867970709462,2.0192543175796293e-13
48,0,0.01628821647720055,5.700589694946577e-14
48,1,0.01481440962570508,4.750514226613763e-16
48,2,0.016429667664218068,2.5640257541096283e-14
48,3,0.016256537927515833,5.536733599199408e-14
48,4,0.016119182234038434,5.167454284119257e-14
48,5,0.01628779746724823,1.1674532851899072e-13
48,6,0.016271200125719074,4.345894393400234e-15
48,7,0.01625378876208209,2.3773711285295404e-13
48,8,0.016240025372026144,7.29173988964023e-14
48,9,0.013621267496036234,3.983119684121709e-15
49,0,0.2087376406356263,3.0472709840661103e-15
49,1,0.2084324423200393,3.9639912078043023e-13
49,2,0.21382368831159715,2.06746251441579e-05
49,3,0.20887493881858707,7.981583169615708e-14
49,4,0.2075871917807981,3.6420330675074284e-13
49,5,0.2151636838275661,2.491100955087633e-08
